Transaction ID,Source Row,Customer ID,Project ID,Unit ID,Demand Amount,Collected Amount,Outstanding Amount,Discount Amount,Refund Amount,Payment Delay Days,Demand Date,Payment Date,Risk Score,Risk Severity,Violations Count,Z-Score Flagged,IQR Flagged,Groupwise Flagged,Isolation Forest Flagged
TXN44,24,CUST21,,U-946,11677936.0,,979768524.0,61513726.0,61142041.0,-61,2024-12-11,2024-10-11,100,CRITICAL,5,False,False,False,False
SYS_MISSING_ROW_25,25,CUST54,,,,,149957850.0,,,592,2024-09-30,2026-05-15,85,CRITICAL,3,False,False,False,False
TXN13,26,,,UNIT25,21188809.0,349229481.0,-89616987.0,,,-46,,2024-04-27,100,CRITICAL,6,False,False,False,False
TXN20,27,,TERRA,UNIT26,380846658.0,580779468.0,-389339666.0,,,198,,2024-03-20,100,CRITICAL,5,False,False,True,False
SYS_MISSING_ROW_28,28,CUST38,,UNIT27,,,22092644.0,,577853914.0,462,,2024-03-11,100,CRITICAL,2,False,True,True,True
TXN43,29,,,,792515474.0,262928604.0,,,,1284,2024-10-24,2028-04-30,100,CRITICAL,8,False,False,True,False
TXN10,30,CUST51,TERRA,,371656334.0,112891876.0,-37850198.0,,,2333,,2031-04-15,100,CRITICAL,5,False,False,True,True
SYS_MISSING_ROW_31,31,CUST37,TERRA,,123586127.0,162842658.0,,,,3412,,2034-04-28,100,CRITICAL,4,False,False,False,False
SYS_MISSING_ROW_32,32,CUST37,,U-810,777817400.0,,771464955.0,,317100975.0,204,,,85,CRITICAL,2,False,False,False,True
TXN10,33,,,,,49857547.0,-493079152.0,,,1873,2024-12-14,,100,CRITICAL,7,False,False,True,True
TXN43,34,CUST13,,,21522208.0,,652954479.0,114827048.0,,1946,,2030-02-13,100,CRITICAL,7,False,False,True,False
SYS_MISSING_ROW_35,35,CUST29,,BLK9-49,269464750.0,,126832192.0,,,3441,,2024-03-11,100,CRITICAL,2,False,False,True,False
TXN4,36,CUST43,,,386283313.0,786514582.0,477027990.0,,,,2024-11-01,2034-05-28,100,CRITICAL,8,False,False,True,False
TXN42,37,CUST52,TERRA,,14290938.0,,,,,219,,2025-05-30,100,CRITICAL,4,False,False,True,False
TXN20,38,CUST40,,,855740743.0,404410643.0,713001644.0,,,393,2024-12-16,2026-01-13,100,CRITICAL,4,False,False,True,False
TXN24,39,,TERRA,,475278081.0,,514422737.0,,245174342.0,,2024-11-15,2027-03-25,100,CRITICAL,3,False,False,True,True
TXN36,40,,TERRA,,31696053.0,,-599068035.0,,243242164.0,2683,,2032-04-16,100,CRITICAL,5,False,False,True,False
TXN17,41,,,UNIT40,13759724.0,380214326.0,776393535.0,,,,2024-10-26,2024-05-20,100,CRITICAL,7,False,False,True,False
TXN25,42,CUST47,TERRA,,800953180.0,,991690464.0,,,3183,,2024-08-21,100,CRITICAL,4,False,False,True,False
SYS_MISSING_ROW_43,43,,,,-6377285.0,728004040.0,967738106.0,,247117395.0,,2024-11-06,2024-08-04,100,CRITICAL,9,False,False,False,True
TXN40,44,CUST26,,,,575346844.0,482981975.0,863296832.0,,2022,2024-12-31,2030-07-15,100,CRITICAL,3,False,False,False,True
TXN42,45,CUST8,,,619714078.0,,909772621.0,66374791.0,,2325,2024-11-22,2031-04-05,100,CRITICAL,7,False,False,True,False
TXN8,46,,TERRA,,27934608.0,,-708316611.0,,,-336,2024-10-19,2023-11-10,100,CRITICAL,6,False,False,True,False
TXN13,47,CUST9,,,,54513435.0,-271773986.0,367616721.0,,-352,,2023-11-02,100,CRITICAL,4,False,False,False,False
SYS_MISSING_ROW_48,48,CUST43,,BLK2-1,2516010.0,,-319415813.0,,,,2024-12-06,2024-02-10,100,CRITICAL,5,False,False,True,False
SYS_MISSING_ROW_49,49,,,U-722,533853732.0,896196588.0,482519681.0,,,3112,,,100,CRITICAL,4,False,False,False,False
TXN42,50,,TERRA,,27657527.0,41001204.0,266175528.0,,,1251,2024-10-30,2023-11-24,100,CRITICAL,8,False,False,True,False
SYS_MISSING_ROW_51,51,,,,919587301.0,924132852.0,880125441.0,,,3166,2024-11-14,2033-07-16,100,CRITICAL,7,False,False,False,True
TXN19,52,,,,338997919.0,,38411162.0,,,493,,2026-04-20,75,CRITICAL,3,False,False,False,False
TXN25,53,CUST29,,,23954394.0,47321553.0,921282823.0,52868608.0,,2531,2024-10-24,2024-10-01,100,CRITICAL,9,False,False,True,False
SYS_MISSING_ROW_54,54,CUST54,TERRA,,353607746.0,28734097.0,588185583.0,422830148.0,,2347,,,100,CRITICAL,3,False,False,True,False
SYS_MISSING_ROW_55,55,,,,31548248.0,49237187.0,-443001301.0,,,,,2023-12-11,100,CRITICAL,6,False,False,False,False
SYS_MISSING_ROW_56,56,,,,614417037.0,,,,345683914.0,,,2024-09-25,100,CRITICAL,4,False,False,False,False
TXN4,57,,TERRA,,,,928715927.0,,,1627,2024-12-17,2029-06-01,100,CRITICAL,6,False,False,True,False
SYS_MISSING_ROW_58,58,CUST47,,,7046216.0,,515417271.0,442208596.0,,831,,2024-10-05,100,CRITICAL,5,False,False,True,False
TXN26,59,CUST23,TERRA,BLK7-22,34200964.0,,228210810.0,,353270588.0,,,2029-01-26,90,CRITICAL,2,False,False,True,False
SYS_MISSING_ROW_60,60,,TERRA,BLK1-38,202494247.0,,,,300544872.0,2718,2024-12-23,2032-06-02,100,CRITICAL,4,False,False,True,True
SYS_MISSING_ROW_61,61,,TERRA,,,16369872.0,232409636.0,,,1581,2024-10-29,2029-02-26,100,CRITICAL,4,False,False,True,False
TXN42,62,CUST29,,BLK9-16,875158981.0,50369323.0,609458610.0,281460176.0,,3115,2024-12-04,2024-06-30,100,CRITICAL,7,False,False,True,False
TXN32,63,CUST22,,,8460713.0,,328230455.0,543244724.0,,1292,,2028-05-22,100,CRITICAL,4,False,False,True,False
SYS_MISSING_ROW_64,64,CUST36,,,694853893.0,,355622612.0,,,,2024-09-21,2024-01-19,100,CRITICAL,5,False,False,False,False
SYS_MISSING_ROW_65,65,,TERRA,,116068342.0,,,,,,2024-11-02,2029-07-04,100,CRITICAL,5,False,False,True,False
TXN29,66,,,,,94440528.0,530494798.0,,230335536.0,884,,2027-03-08,100,CRITICAL,6,False,False,False,False
TXN10,67,,TERRA,UNIT66,30140737.0,451286158.0,-457174633.0,282383079.0,246353867.0,694,2024-10-04,2026-08-29,100,CRITICAL,10,False,False,True,True
TXN42,68,CUST53,,,,,550953927.0,,,1598,,2029-04-17,100,CRITICAL,6,False,False,True,False
TXN37,69,CUST49,,,336648057.0,,350318901.0,,,1046,2024-12-20,,50,HIGH,2,False,False,False,False
TXN5,70,,,,730645442.0,823618515.0,540873121.0,,,,,2024-09-29,100,CRITICAL,7,False,False,False,False
TXN21,71,,TERRA,,-1511730.0,238299066.0,-844445892.0,,,2707,,2032-05-25,100,CRITICAL,6,False,False,False,False
SYS_MISSING_ROW_72,72,,,,619662681.0,,843271311.0,,,1115,,2027-10-18,100,CRITICAL,5,False,False,False,False
TXN13,73,,,,,,810921551.0,522938049.0,,424,,2024-08-08,100,CRITICAL,4,False,False,False,False
SYS_MISSING_ROW_74,74,CUST53,,,,856464704.0,251528255.0,,,,,2024-10-04,100,CRITICAL,3,False,False,True,False
SYS_MISSING_ROW_75,75,,TERRA,,16233351.0,,-250137027.0,535192373.0,432402749.0,674,2024-12-15,2026-10-20,100,CRITICAL,9,False,False,True,True
TXN42,76,CUST40,TERRA,U-791,,,373594847.0,,,367,,2025-10-24,100,CRITICAL,3,False,False,True,False
