transaction_id,customer_id,project_id,unit_id,demand_amount,collected_amount,outstanding_amount,discount_amount,refund_amount,payment_delay_days,demand_date,payment_date
TXN0024,CUST024,PROJ04,UNIT0024,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0025,CUST025,PROJ05,UNIT0025,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0026,CUST026,PROJ01,UNIT0026,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0027,CUST027,PROJ02,UNIT0027,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0028,CUST028,PROJ03,UNIT0028,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0029,CUST029,PROJ04,UNIT0029,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0030,CUST030,PROJ05,UNIT0030,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0031,CUST031,PROJ01,UNIT0031,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0032,CUST032,PROJ02,UNIT0032,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0033,CUST033,PROJ03,UNIT0033,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-10,2026-02-17
TXN0034,CUST034,PROJ04,UNIT0034,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-10,2026-02-17
TXN0035,CUST035,PROJ05,UNIT0035,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-10,2026-02-17
TXN0036,CUST036,PROJ01,UNIT0036,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-10,2026-02-17
TXN0037,CUST037,PROJ02,UNIT0037,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-11,2026-02-18
TXN0038,CUST038,PROJ03,UNIT0038,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-11,2026-02-18
TXN0039,CUST039,PROJ04,UNIT0039,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-11,2026-02-18
TXN0040,CUST040,PROJ05,UNIT0040,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-11,2026-02-18
TXN0041,CUST041,PROJ01,UNIT0041,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-12,2026-02-19
TXN0042,CUST042,PROJ02,UNIT0042,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-12,2026-02-19
TXN0043,CUST043,PROJ03,UNIT0043,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-12,2026-02-19
TXN0044,CUST044,PROJ04,UNIT0044,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-12,2026-02-19
TXN0045,CUST045,PROJ05,UNIT0045,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-13,2026-02-20
TXN0046,CUST046,PROJ01,UNIT0046,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-13,2026-02-20
TXN0047,CUST047,PROJ02,UNIT0047,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-13,2026-02-20
TXN0048,CUST048,PROJ03,UNIT0048,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-13,2026-02-20
TXN0049,CUST049,PROJ04,UNIT0049,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0050,CUST050,PROJ05,UNIT0050,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0051,CUST051,PROJ01,UNIT0051,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0052,CUST052,PROJ02,UNIT0052,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0053,CUST053,PROJ03,UNIT0053,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0054,CUST054,PROJ04,UNIT0054,7500000.0,0.0,7500000.0,0.0,0.0,182,2026-02-16,2026-08-17
TXN0055,CUST055,PROJ05,UNIT0055,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0056,CUST056,PROJ01,UNIT0056,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0057,CUST057,PROJ02,UNIT0057,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0058,CUST058,PROJ03,UNIT0058,7500000.0,0.0,7500000.0,0.0,0.0,182,2026-02-16,2026-08-17
TXN0059,CUST059,PROJ04,UNIT0059,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0060,CUST060,PROJ05,UNIT0060,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-16,2026-02-23
TXN0061,CUST061,PROJ01,UNIT0061,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-17,2026-02-24
TXN0062,CUST062,PROJ02,UNIT0062,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-17,2026-02-24
TXN0063,CUST063,PROJ03,UNIT0063,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-17,2026-02-24
TXN0064,CUST064,PROJ04,UNIT0064,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-17,2026-02-24
TXN0065,CUST065,PROJ05,UNIT0065,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-18,2026-02-25
TXN0066,CUST066,PROJ01,UNIT0066,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-18,2026-02-25
TXN0067,CUST067,PROJ02,UNIT0067,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-18,2026-02-25
TXN0068,CUST068,PROJ03,UNIT0068,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-18,2026-02-25
TXN0069,CUST069,PROJ04,UNIT0069,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-19,2026-02-26
TXN0070,CUST070,PROJ05,UNIT0070,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-19,2026-02-26
TXN0071,CUST071,PROJ01,UNIT0071,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-19,2026-02-26
TXN0072,CUST072,PROJ02,UNIT0072,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-19,2026-02-26
TXN0073,CUST073,PROJ03,UNIT0073,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-20,2026-02-27
TXN0074,CUST074,PROJ04,UNIT0074,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-20,2026-02-27
TXN0075,CUST075,PROJ05,UNIT0075,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-20,2026-02-27
TXN0076,CUST076,PROJ01,UNIT0076,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-20,2026-02-27
TXN0077,CUST077,PROJ02,UNIT0077,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0078,CUST078,PROJ03,UNIT0078,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0079,CUST079,PROJ04,UNIT0079,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0080,CUST080,PROJ05,UNIT0080,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0081,CUST081,PROJ01,UNIT0081,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0082,CUST082,PROJ02,UNIT0082,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0083,CUST083,PROJ03,UNIT0083,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0084,CUST084,PROJ04,UNIT0084,7500000.0,0.0,7500000.0,0.0,0.0,182,2026-02-23,2026-08-24
TXN0085,CUST085,PROJ05,UNIT0085,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0086,CUST086,PROJ01,UNIT0086,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0087,CUST087,PROJ02,UNIT0087,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0088,CUST088,PROJ03,UNIT0088,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-23,2026-03-02
TXN0089,CUST089,PROJ04,UNIT0089,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-24,2026-03-03
TXN0090,CUST090,PROJ05,UNIT0090,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-24,2026-03-03
TXN0091,CUST091,PROJ01,UNIT0091,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-24,2026-03-03
TXN0092,CUST092,PROJ02,UNIT0092,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-24,2026-03-03
TXN0093,CUST093,PROJ03,UNIT0093,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-25,2026-03-04
TXN0094,CUST094,PROJ04,UNIT0094,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-25,2026-03-04
TXN0095,CUST095,PROJ05,UNIT0095,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-25,2026-03-04
TXN0096,CUST096,PROJ01,UNIT0096,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-25,2026-03-04
TXN0097,CUST097,PROJ02,UNIT0097,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-26,2026-03-05
TXN0098,CUST098,PROJ03,UNIT0098,10000000.0,0.0,10000000.0,0.0,0.0,182,2026-02-26,2026-08-27
TXN0099,CUST099,PROJ04,UNIT0099,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-26,2026-03-05
TXN0100,CUST100,PROJ05,UNIT0100,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-26,2026-03-05
TXN0101,CUST101,PROJ01,UNIT0101,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-27,2026-03-06
TXN0102,CUST102,PROJ02,UNIT0102,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-27,2026-03-06
TXN0103,CUST103,PROJ03,UNIT0103,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-27,2026-03-06
TXN0104,CUST104,PROJ04,UNIT0104,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-27,2026-03-06
TXN0105,CUST105,PROJ05,UNIT0105,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0106,CUST106,PROJ01,UNIT0106,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0107,CUST107,PROJ02,UNIT0107,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0108,CUST108,PROJ03,UNIT0108,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0109,CUST109,PROJ04,UNIT0109,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0110,CUST110,PROJ05,UNIT0110,7500000.0,0.0,7500000.0,0.0,0.0,182,2026-03-02,2026-08-31
TXN0111,CUST111,PROJ01,UNIT0111,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0112,CUST112,PROJ02,UNIT0112,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0113,CUST113,PROJ03,UNIT0113,5000000.0,0.0,6000000.0,0.0,1000000.0,182,2026-03-02,2026-08-31
TXN0114,CUST114,PROJ04,UNIT0114,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0115,CUST115,PROJ05,UNIT0115,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0116,CUST116,PROJ01,UNIT0116,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-02,2026-03-09
TXN0117,CUST117,PROJ02,UNIT0117,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-03,2026-03-10
TXN0118,CUST118,PROJ03,UNIT0118,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-03,2026-03-10
TXN0119,CUST119,PROJ04,UNIT0119,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-03,2026-03-10
TXN0120,CUST120,PROJ05,UNIT0120,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-03,2026-03-10
TXN0121,CUST121,PROJ01,UNIT0121,10000000.0,0.0,11000000.0,0.0,1000000.0,182,2026-03-04,2026-09-02
TXN0122,CUST122,PROJ02,UNIT0122,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-04,2026-03-11
TXN0123,CUST123,PROJ03,UNIT0123,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-04,2026-03-11
TXN0124,CUST124,PROJ04,UNIT0124,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-04,2026-03-11
TXN0125,CUST125,PROJ05,UNIT0125,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-05,2026-03-12
TXN0126,CUST126,PROJ01,UNIT0126,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-05,2026-03-12
TXN0127,CUST127,PROJ02,UNIT0127,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-05,2026-03-12
TXN0128,CUST128,PROJ03,UNIT0128,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-05,2026-03-12
TXN0129,CUST129,PROJ04,UNIT0129,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-06,2026-03-13
TXN0130,CUST130,PROJ05,UNIT0130,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-06,2026-03-13
TXN0131,CUST131,PROJ01,UNIT0131,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-06,2026-03-13
TXN0132,CUST132,PROJ02,UNIT0132,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-06,2026-03-13
TXN0133,CUST133,PROJ03,UNIT0133,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0134,CUST134,PROJ04,UNIT0134,10000000.0,0.0,10000000.0,0.0,0.0,182,2026-03-09,2026-09-07
TXN0135,CUST135,PROJ05,UNIT0135,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0136,CUST136,PROJ01,UNIT0136,10000000.0,0.0,10000000.0,0.0,0.0,182,2026-03-09,2026-09-07
TXN0137,CUST137,PROJ02,UNIT0137,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0138,CUST138,PROJ03,UNIT0138,5000000.0,0.0,5000000.0,0.0,0.0,182,2026-03-09,2026-09-07
TXN0139,CUST139,PROJ04,UNIT0139,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0140,CUST140,PROJ05,UNIT0140,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0141,CUST141,PROJ01,UNIT0141,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0142,CUST142,PROJ02,UNIT0142,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0143,CUST143,PROJ03,UNIT0143,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0144,CUST144,PROJ04,UNIT0144,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-09,2026-03-16
TXN0145,CUST145,PROJ05,UNIT0145,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-10,2026-03-17
TXN0146,CUST146,PROJ01,UNIT0146,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-10,2026-03-17
TXN0147,CUST147,PROJ02,UNIT0147,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-10,2026-03-17
TXN0148,CUST148,PROJ03,UNIT0148,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-10,2026-03-17
TXN0149,CUST149,PROJ04,UNIT0149,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-11,2026-03-18
TXN0150,CUST150,PROJ05,UNIT0150,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-11,2026-03-18
TXN0151,CUST151,PROJ01,UNIT0151,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-11,2026-03-18
TXN0152,CUST152,PROJ02,UNIT0152,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-11,2026-03-18
TXN0153,CUST153,PROJ03,UNIT0153,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-12,2026-03-19
TXN0154,CUST154,PROJ04,UNIT0154,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-12,2026-03-19
TXN0155,CUST155,PROJ05,UNIT0155,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-12,2026-03-19
TXN0156,CUST156,PROJ01,UNIT0156,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-12,2026-03-19
TXN0157,CUST157,PROJ02,UNIT0157,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-13,2026-03-20
TXN0158,CUST158,PROJ03,UNIT0158,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-13,2026-03-20
TXN0159,CUST159,PROJ04,UNIT0159,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-13,2026-03-20
TXN0160,CUST160,PROJ05,UNIT0160,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-13,2026-03-20
TXN0161,CUST161,PROJ01,UNIT0161,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0162,CUST162,PROJ02,UNIT0162,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0163,CUST163,PROJ03,UNIT0163,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0164,CUST164,PROJ04,UNIT0164,10000000.0,0.0,11000000.0,0.0,1000000.0,182,2026-03-16,2026-09-14
TXN0165,CUST165,PROJ05,UNIT0165,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0166,CUST166,PROJ01,UNIT0166,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0167,CUST167,PROJ02,UNIT0167,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0168,CUST168,PROJ03,UNIT0168,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0169,CUST169,PROJ04,UNIT0169,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0170,CUST170,PROJ05,UNIT0170,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0171,CUST171,PROJ01,UNIT0171,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0172,CUST172,PROJ02,UNIT0172,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-16,2026-03-23
TXN0173,CUST173,PROJ03,UNIT0173,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-17,2026-03-24
TXN0174,CUST174,PROJ04,UNIT0174,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-17,2026-03-24
TXN0175,CUST175,PROJ05,UNIT0175,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-17,2026-03-24
TXN0176,CUST176,PROJ01,UNIT0176,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-17,2026-03-24
TXN0177,CUST177,PROJ02,UNIT0177,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-18,2026-03-25
TXN0178,CUST178,PROJ03,UNIT0178,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-18,2026-03-25
TXN0179,CUST179,PROJ04,UNIT0179,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-18,2026-03-25
TXN0180,CUST180,PROJ05,UNIT0180,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-18,2026-03-25
TXN0181,CUST181,PROJ01,UNIT0181,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-19,2026-03-26
TXN0182,CUST182,PROJ02,UNIT0182,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-19,2026-03-26
TXN0183,CUST183,PROJ03,UNIT0183,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-19,2026-03-26
TXN0184,CUST184,PROJ04,UNIT0184,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-19,2026-03-26
TXN0185,CUST185,PROJ05,UNIT0185,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-20,2026-03-27
TXN0186,CUST186,PROJ01,UNIT0186,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-20,2026-03-27
TXN0187,CUST187,PROJ02,UNIT0187,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-20,2026-03-27
TXN0188,CUST188,PROJ03,UNIT0188,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-20,2026-03-27
TXN0189,CUST189,PROJ04,UNIT0189,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0190,CUST190,PROJ05,UNIT0190,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0191,CUST191,PROJ01,UNIT0191,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0192,CUST192,PROJ02,UNIT0192,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0193,CUST193,PROJ03,UNIT0193,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0194,CUST194,PROJ04,UNIT0194,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0195,CUST195,PROJ05,UNIT0195,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0196,CUST196,PROJ01,UNIT0196,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0197,CUST197,PROJ02,UNIT0197,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0198,CUST198,PROJ03,UNIT0198,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0199,CUST199,PROJ04,UNIT0199,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0200,CUST200,PROJ05,UNIT0200,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-23,2026-03-30
TXN0201,CUST201,PROJ01,UNIT0201,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-24,2026-03-31
TXN0202,CUST202,PROJ02,UNIT0202,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-24,2026-03-31
TXN0203,CUST203,PROJ03,UNIT0203,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-24,2026-03-31
TXN0204,CUST204,PROJ04,UNIT0204,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-24,2026-03-31
TXN0205,CUST205,PROJ05,UNIT0205,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-25,2026-04-01
TXN0206,CUST206,PROJ01,UNIT0206,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-25,2026-04-01
TXN0207,CUST207,PROJ02,UNIT0207,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-25,2026-04-01
TXN0208,CUST208,PROJ03,UNIT0208,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-25,2026-04-01
TXN0209,CUST209,PROJ04,UNIT0209,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-26,2026-04-02
TXN0210,CUST210,PROJ05,UNIT0210,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-26,2026-04-02
TXN0211,CUST211,PROJ01,UNIT0211,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-26,2026-04-02
TXN0212,CUST212,PROJ02,UNIT0212,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-26,2026-04-02
TXN0213,CUST213,PROJ03,UNIT0213,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-27,2026-04-03
TXN0214,CUST214,PROJ04,UNIT0214,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-27,2026-04-03
TXN0215,CUST215,PROJ05,UNIT0215,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-27,2026-04-03
TXN0216,CUST216,PROJ01,UNIT0216,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-27,2026-04-03
TXN0217,CUST217,PROJ02,UNIT0217,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-30,2026-04-06
TXN0218,CUST218,PROJ03,UNIT0218,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-30,2026-04-06
TXN0219,CUST219,PROJ04,UNIT0219,100000.0,100000.0,0.0,0.0,0.0,7,2026-03-30,2026-04-06
TXN0220,CUST220,PROJ05,UNIT0220,120000.0,120000.0,0.0,0.0,0.0,7,2026-03-30,2026-04-06
TXN0221,CUST221,PROJ01,UNIT0221,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-30,2026-04-06
TXN0222,CUST222,PROJ02,UNIT0222,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-30,2026-04-06
TXN0223,CUST223,PROJ03,UNIT0223,80000.0,80000.0,0.0,0.0,0.0,7,2026-03-30,2026-04-06
